run_id,round,client_id,Data_Distribution,Computation_Time,Quality_Factor,cpu_utilization,memory_utilization,memory_used_mb,gpu_memory_used_mb,gpu_utilization,availability_flag,dataset,task_type,model_type,learning_rate,batch_size,local_epochs
mnist_123_20251105_190127,2,client_9,"{0: 320, 1: 362, 2: 365, 3: 343, 4: 351, 5: 328, 6: 358, 7: 347, 8: 337, 9: 311}",1.3095295429229736,0.8925999999046326,19.049999999999997,66.5,21661.5234375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_10,"{0: 340, 1: 407, 2: 343, 3: 333, 4: 348, 5: 284, 6: 318, 7: 365, 8: 345, 9: 339}",1.2069332599639893,0.8985000252723694,19.4,66.80000000000001,21777.3359375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_11,"{0: 347, 1: 395, 2: 319, 3: 321, 4: 345, 5: 290, 6: 361, 7: 362, 8: 330, 9: 352}",1.369234323501587,0.8956000208854675,19.5,67.25,21920.890625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_12,"{0: 321, 1: 358, 2: 367, 3: 352, 4: 337, 5: 313, 6: 339, 7: 360, 8: 333, 9: 342}",1.2982923984527588,0.9006999731063843,16.4,67.6,21980.68359375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_13,"{0: 343, 1: 399, 2: 322, 3: 336, 4: 349, 5: 290, 6: 322, 7: 333, 8: 390, 9: 338}",1.222489833831787,0.9002000093460083,19.15,67.05000000000001,21538.375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_14,"{0: 334, 1: 437, 2: 336, 3: 341, 4: 347, 5: 326, 6: 309, 7: 335, 8: 326, 9: 331}",1.2334983348846436,0.9034000039100647,15.549999999999999,66.35,21558.03125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_15,"{0: 348, 1: 382, 2: 339, 3: 317, 4: 328, 5: 320, 6: 321, 7: 363, 8: 363, 9: 341}",1.1919941902160645,0.9003000259399414,16.200000000000003,66.4,21578.19921875,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_16,"{0: 366, 1: 417, 2: 355, 3: 336, 4: 343, 5: 285, 6: 323, 7: 343, 8: 312, 9: 342}",1.2091004848480225,0.9032999873161316,17.8,66.4,21576.84375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_17,"{0: 327, 1: 410, 2: 340, 3: 363, 4: 328, 5: 303, 6: 337, 7: 340, 8: 313, 9: 361}",1.2561430931091309,0.9034000039100647,12.7,66.45,21601.49609375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_18,"{0: 343, 1: 354, 2: 380, 3: 327, 4: 338, 5: 303, 6: 355, 7: 375, 8: 305, 9: 342}",1.1622719764709473,0.8999999761581421,14.25,66.5,21620.3671875,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
